year,meeting_number,speaker,speech,party
2020,41,Morten Messerschmidt (DF),"Jeg kan informere fru Signe Munk om, at man i hvert fald de seneste rigtig mange årtier har beskattet produktionen ude i Nordsøen. Så det er jo ikke et nyt fænomen, og jeg kan også sige, at det er noget, som vi i Dansk Folkeparti har været glade for – altså både at der blev skabt nogle ressourcer, og at det så kunne beskattes, og at det kunne bruges på gode velfærdsordninger. Jeg tror, ministeren tidligere har oplyst, at det er 500 mia. kr., Danmark igennem årene har fået op af Nordsøen og på den måde har kunnet bygge det danske samfund op, og det synes vi er dejligt. Anden næstformand",DF
2020,120,(Erling Bonnesen),"Tak til ministeren. Der er ikke flere korte bemærkninger. Så kan vi gå videre til Socialdemokraternes ordfører, og det er hr. Jeppe Bruus. (Ordfører)",V
2020,76,Karina Lorentzen Dehnhardt (SF),"Jeg synes, at udfordringen lidt er, at de to ting hænger sammen. For det nytter jo ikke noget, at vi får en ny paragraf i straffeloven, hvis ikke også mulighederne for at udnytte den er til stede for nogle af de her mennesker, som f.eks. har mentale og kognitive handicap. Så er adgangen til straffesystemet bare sværere, og så ender det med en tiltaleopgivelse, fordi vedkommende ikke er blevet støttet ordentligt undervejs. Det betyder også, at de faktisk heller ikke får erstatninger, for det er noget, de skal søge selv, og det er en kæmpestor udfordring for dem. Så kunne Socialdemokratiet måske sige noget om, om man kunne tænke sig at undersøge den her problemstilling nærmere med henblik på at sikre de her mennesker? Første næstformand",SF
2024,31,(Karina Adsbøl),"Tak. Så er det fru Samira Nawa, Radikale Venstre. Værsgo.",DD
2008,63,Justitsministeren (Brian Mikkelsen),"Da vi havde debatten om domstolsreformen, tilkendegav et meget bredt politisk flertal i Folketinget meget positive tanker om domstolsreformen. Hvis man i dag, allerede nu i 2009, evaluerer domstolsreformen, er der en overraskende. positiv holdning til implementeringen af domstolsreförmen. Den fungerer rigtig godt til gavn for dommerne og til gavn for hele retssystemet, og det betyder, at borgerne får en bedre betjening. I det område, som spørgeren henviser til, har vi draget den.positivepositive - konsekvens, indtaget den holdning og gjort det tilvalg, at der er et bemandet afdelingskontor i Thisted, og det er iil meget større fordel for borgerne i Thisted, end det ville være noget som helst andet sted i Danmark. Det gør vi, fordi vi synes, det er nødvendigt af hensyn til de lange afstande og også af hensyn til hele vores udkantspolitik. Vi vil ikke have, at alting bare bliver centraliseret, det er en erklæret holdning hos regeringen, at ting skal ligge forskellige steder i Danmark. Uanset om det er inden for beskæftigelsesområdet, fi-. nansområdet, erhvervsområdet, kulturområdet eller uddannelsesområdet, vil vi have, at der er vækst i hele Danmark. Derfor er der stadig væk 4278 (S 1539) et bemandet afdelingskontor i Thisted, og det vil der blive ved med at være. Den fg. formand (Karen J.",KF
2015,14,Finn Sørensen (EL),"Tak til ordføreren for at stille op. Jeg opfatter det sidste svar, som hr. Holger K. Nielsen har givet her, sådan, at der er vetoret, også på spørgsmålet om at udskrive en folkeafstemning. Skulle jeg forstå det sådan? Nej, men så må jeg blive oplyst. I hvert fald må ordføreren jo forklare mig, hvordan det er med den aftale, som partierne har lavet. Jeg har opfattet den sådan, at man har udstyret hinanden med en vetoret på spørgsmålet om, om Danmark skal omfattes af EU's grænsekontrol og asyl- og indvandringspolitik. Det er vel rigtigt opfattet, ikke? Og kan vi så lige få et svar på: Er der vetoret eller ej på spørgsmålet om at udskrive en folkeafstemning? Den fg. formand",EL
2012,38,Erling Bonnesen (V),"Jeg kan godt forstå, at finansministeren sådan lige skulle suge luft ind en ekstra gang, når der sådan på 30 sekunder kan opstilles, hvad der er fakta. Og det er jo ikke forsimpling, det er fakta. Vi er gået fra i 2008, at Danmark var netto gældfri med VKregeringen i spidsen, til nu at have et underskud på bundlinjen. Økonomien er gået i stå, ledigheden stiger, og det må finansministeren da forholde sig til. Der er ikke nogen sådan nye initiativer, man håber bare, det går over. Er det det, der er linjen nu? Er det at tage bestik af situationen? Anden næstformand",V
2020,83,Morten Messerschmidt (DF),"Tak, formand. Hvordan forestiller ministeren sig at hans nye forslag om asylbehandling i tredjeland kan »bidrage til at stoppe den livsfarlige, risikable og ukontrollerbare flugt over Middelhavet«, som Socialdemokratiet skrev i udspillet »Retfærdig og realistisk«, når det forslag, regeringen har fremlagt, bygger på, at asylansøgere alligevel skal henvende sig i Danmark – og kun en del af disse efterfølgende sendes til det pågældende tredjeland? Anden næstformand",DF
2000,30,Sandy Brinck (S),"Beslutningsforslaget er fremsat med det sympatiske og ædle motiv at hindre unge debuterende lovovertrædere i at hænge fast i kriminalitet, et ønske, som vi fra Socialdemokratiet varmt kan dele. Vi ønsker en tidlig og konsekvent indsats, og dette har gennemsyret regeringens to voldspakker samt indsatsen mod utilpassede unge, ligesom vi netop har hørt justitsministeren redegøte for, at det er samme holdning, der ligger til grund for det arbejde, der i øjeblikket foregår i et ekspertudvalg, hvor opgaven bl.a. går ud på at sikre, at den sociale indsats kan blive iværksat inden for 24 timer. Vi er i Socialdemokratiet meget tilfredse med, at justitsministeren over for udvalget har lagt op til en ungdomssanktion, som skal skabe rammerne for de mange muligheder og instrumenter, der allerede eksisterer, men som skal tages i anvendelse prompte. For at sige det lidt billedligt er det vores håb, at vi med en ungdomssanktion kan få en værktøjskasse til de mange værktøjer, vi allerede har, så antallet af møder reduceres kraftigt, og handlingen kommer straks. Det, som skiller vandene mellem os og forslagsstillerne, er, at Socialdemokratiet ikke et øjeblik tror på straf uden et indhold af opdragelse over for børn og unge. At bure børn og unge ind i kortere og længere tid har ingen positiv effekt, og vi behøver faktisk ikke bygge vores holdning på tro. Det, der for os er sund fornuft, er faktisk også dokumenteret af udenlandske erfaringer. Amerikanske undersøgelser viser, at chokfængsling øger sandsynligheden for, at vedkommende fortsætter i det kriminelle spor. Børn og unge skal mærke en konsekvens, men det er en noget kortvarig konsekvens, forslaget lægger op til: 24 dage. 24 dage, og hvad så? Tilbage i samme spor, tilbage i samme situation, mens vi ser på, at lillebror gør det samme. Nej, konsekvensen må række ud over 24 dage. Vi skal være konsekvente over for den kriminelle handling, men vi skal også være benhårde over for de årsager, som skaber kriminaliteten. Kun på den måde får vi en indsats, som strækker sig ud over de 24 dage, altså en langsigtet virkning, og det er faktisk ambitionen i den socialdemokratiske gruppe. Derfor må forældrene på banen. Derfor er SSPsamarbejdet så væsentligt, og her har vi jo udvidet det op til de 23 år. Det er dette samarbejde, som giver en konsekvens hele vejen rundt om den unge, og en konsekvens, som strækker sig ud over de 24 dage. Med disse holdningstilkendegivelser og med henvisning til det udvalgsarbejde, som justitsministeren har sat i værk, og som her inden udgangen af januar kommer med en vurdering af mulighederne, skal jeg sige, at Socialdemokrati2310 (B 26) et ikke kan støtte det fremsatte beslutningsforslag. Første næstformand",S
2017,20,Martin Lidegaard (RV),"Tak for den sidste bemærkning. Når man begynder på det der, synes jeg, noget ordkløveragtige spil, som hr. Søren Søndergaard her startede på, så tror jeg altså også, at det er, fordi man er en lille smule presset på argumentationen. Jeg har ikke sagt noget ukorrekt fra den her talerstol. Det vil være sådan, at den her teknologi udvikler sig løbende, og den giver en direkte adgang til at vurdere, om folk er i systemet, som der ikke er i dag. Det kaldte jeg så en direkte adgang til registeret. Det er rigtigt, at man ikke får adgang til alle oplysninger i registeret, men der er da en forskel. Og som der står i det papir, som hr. Søren Søndergaard sidder med dernede, så vil den adgang blive større og større efter alt at dømme. Derfor glæder jeg mig bare over, at hr. Søren Søndergaard erkender, at hvis de forringede muligheder bliver endnu mere forringede – også mere, end Enhedslisten kan leve med – så er man trods alt også klar til at se på det. Men der ligger jo både i Dansk Folkepartis og Enhedslistens angreb på mig her en indirekte erkendelse af, at der er forskel på, om man er medlem af Europol eller ej. Tredje næstformand",RV
2008,72,Martin Henriksen (DF),"Jeg synes også, det er væsentligt, at man diskuterer skolepraktiksituationen, men jeg synes ikke, det er seriøst at gøre det på baggrund af Socialistisk Folkepartis beslutningsforslag. Jeg synes, det er lidt åndssvagt, at man giver indtryk af - og det er jo også det indtryk, man har fået, når man har læst det, som er blevet sagt i pressen - at man som ung i realiteten kan blive lige præcis, hvad man har lyst til, og at man kan få lige præcis den praktikplads, som man har lyst til. Jeg synes, man skal passe meget på med at udstede sådan nogle løfter. Sådan har jeg i hvert fald opfattet meget af det, som Socialistisk Folkeparti har givet udtryk for i pressen, og det synes jeg er en forkert måde at gøre det på. Jeg synes også, man fuldstændig glemmer, at detså vidt jeg huskerer omkring 3035 uddannelser, der rent faktisk udbydes med skolepraktik, så det er jo ikke sådan, at skolepraktik som sådan er afskaffet; man har skruet lidt ned for det. Det er jo inden for nogle uddannelser også sådan, at hvis man er i praktik ude i en virksomhed og virksomheden så går konkurs, ja, så har man mulighed for at få en skolepraktikplads. Der er jo også uddannelsesgarantien, hvor man har mulighed for at gennemføre en uddannelse med eksempelvis skolepraktik, eller en uddannelse, som man kan gennemføre uden praktik ude på skolendet vil der også være mulighed for. Så der er jo sådan set mulighed for, at man som ungt menneske kan få en uddannelse; det kan så godt være, at man ikke kan få lige præcis den uddannelse, som man gerne ville have. Og jeg synes, man skal tilstræbe, at unge mennesker kan få de uddannelser, som de gerne vil have, men det er nu også sådan, at det jo ikke er alle, der kan blive folkeskolelærer, og det er altså heller ikke alle, der kan blive tømrer, og det er heller ikke alle, der kan blive direktør. Sådan er virkeligheden nu engang. Den uddannelsesgaranti, som er vedtaget, er jo netop vedtaget på et tidspunkt, hvor økonomien gik godt, og hvor der var gode muligheder for, at man kunne få en praktikplads i en virksomhed. Og netop fordi man vedtog uddannelsesgarantien, da det gik godt, så gør det nu, hvor det går lidt mindre godt, at man rent faktisk har en mulighed for at sige til de unge mennesker: Det kan godt være, at I ikke kan blive lige præcis det, I gerne vil, men under visse forudsætninger kan vi altså sikre, at I kan få en erhvervsuddannelse. Det synes jeg er vigtigt og relevant at holde fast i. Jeg synes, det er sådan et rygmarvsforslag, som Socialistisk Folkeparti er kommet med, og som dehvis man tager det her og så det næste forslag på ca. to A4sider - prøver at redde hele situationen med. Og det synes jeg altså er for letkøbt. Så vil jeg også bare sigevedrørende dem, som har sagt, at der ikke bliver gjort noget at der jo altså er vedtaget en forårspakke med skattelettelser, skatteomlægninger, som jo forhåbentlig vil sætte gang i økonomien og også sætte gang i privatforbruget. Som en del af den skatteomlægning er der jo en renoveringspulje, som rent faktisk går til, at man skal sætte gang i byggeriet. Det kan jo også være med til, at der er flere virksomheder, der tør og har lyst til at tage flere lærlinge ind. Der er fremrykket investeringer i forbindelse med trafikaftalen, og det er også noget, som i høj grad vil kunne komme bygge- og anlægssektoren til gode, og det er jo der, vi kan se, at der er nogle problemer. Der er sket en forhøjelse af kommunernes anlægsloft med 2 mia. kr., og hvis man hører på, hvad det er, kommunerne melder ud om, hvad de vil renovere og byggenu skal vi selvfølgelig se det endelige resultatså er det jo i høj grad inden for områder, som lige præcis har at gøre med bygge- og anlægssektoren. Derfor kan man også have et håb om, at det vil medvirke til, at virksomhederne ikke vil være så tilbageholdende med at tage unge ind og give dem en praktikplads. Så at sige, der ikke sker noget, er altså bare udtryk for, at man ganske enkelt har sovet i timen. ' Så er der også at sige til forslagetudover at det grundlæggende er useriøstat der jo heller ikke er nogen refleksion over, hvad det skal koste, men jeg går ud fra, at man ønsker det her forslag, fordi der er problemer med at skaffe praktikpladser ude i virksomhederne. Og samtidig siger man i forslaget, at skolen står som garant for, at der bliver gennemført én uddannelse, hvor 50 pet. af uddannelsestiden er ude i en virksomhed. Altså, skal man så tvinge virksomheder til at oprette x antal praktikpladser, tage x antal lærlinge ind? Altså, det er jo en betontankegang, det kan man ikke. Det vil jo i den grad ødelægge virksomhedernes lyst til at tage lærlinge ind og oprette praktikpladserbåde i perioder, hvor det går godt, og i perioder, hvor det går mindre godt. Vi har jo faktisk set, at der i de seneste år har været rigtig mange, der har taget lærlinge ind, og nu, hvor det går lidt skidt med økonomien, er det så, at vi skal sørge for, at det kommer til at fungere igen. Med de initiativer, som jeg skitserede, og med de initiativer, som ministeren skitserede, mener jeg faktisk, at der er fokus på s a g e n.. Med disse bemærkninger afviser vi forslaget. Den fg. formand",DF
2003,86,Statsministeren (Anders Fogh Rasmussen),"Det er absolut ikke nogen korrekt måde, hr. Kri., stian Thulesen Dahl fremstiller sagen på. Som jeg allerede har svaret flere gange, gælder der en regel om det, der hedder udstationering af medarbejdere i et andet EUland, og i tilfælde af en udstationering som den, jeg forstår, hr. Kristian Thulesen Dahl taler om her, hvor polske arbejdere udfører arbejde her i landetja, så skal det pågældende polske firma leve op til den lovgivning, der gælder i Danmark på det danske arbejdsmarked om ferielovgivning, om arbejdsmiljølovgivning, om arbejdstidsregler og alt andet, som vedrører det danske arbejdsmarked. Det skal det pågældende firma leve op til. (Spm) 9703 For så vidt angår fastsættelsen af løn, har arbejdsmarkedets parter i Danmark -.ønskét, at det er dem selv, der skal påse, om reglerne bliver 1 overholdt. Det kunne vi godt lovgive om, men det kræver altså, at der kommer en henvendelse fra arbejdsmarkedets parter, for i Danmark har vi ikke tradition for at lovgive om løn. Det. kunne vi godt gøte, men det ville som sagt efter min mening kræve, at der kom en henvendelse fra arbejdsmarkedets parter. Jeg tilkendegav før, at hvis der sker noget på arbejdsmarkedet, som fører til, at arbejdsmarkedets parter kommer til regeringen og siger, at nu har de behov for nogle supplerende redskaber, er vi meget lydhøre over for det, for jeg kan forsikre hr,",V
2021,33,Alex Vanopslagh (LA),"Ja, og vores forslag er jo så, at det også skal omfatte private i ordets egentlige forstand, sådan at det også kan være et familiemedlem. Sådan er det ikke i dag, medmindre familiemedlemmet er, lad os sige dagplejemor, altså at det er en lille ordning. 20 (B 26) Anden næstformand",LA
2023,52,Torsten Gejl (ALT),"Tak for talen. Jeg har lige læst en undersøgelse, der viser, at 90 pct. af unge mener, at det er godt for Danmark at være med i EU. Mange unge føler sig jo som europæere, som europæiske borgere, og kommer til at leve et liv rundtomkring i Europa med uddannelse, de finder kærester og gifter sig måske også i et andet land, whatever. Ville det ikke være på sin plads endelig at give unge en mulighed for at være med til at forme det Europa, allerede fra de er 16 år, som jo på mange måde bliver deres?",ALT
2024,30,Kristian Bøgsted (DD),"Hvad mener ministeren om, at de hollandske fiskere bruger jernkæder og kædemåtter i Skagerrak, når de danske fiskere ikke bruger disse redskaber for at skåne værdifulde stenrev? Den fg. formand",DD
2003,69,Margrete Auken (SF),"Jeg er først meget glad for at høre, at Dansk Folkeparti slår fast, at et barn ikke må blive et middel til at redde en søster eller bror, men skal 7428 (L 188) være et mål i sig selvet nogenlunde ordret citat af, hvad fru.Birthe Skaarup sagde. Men så er det jo, at vi har dilemmaet, for de forældre kan jo godt få børn uden den her behandling. Det ville mange af dem jo kunne. Hvis de nu står i den situation, at de har fået lavet den her behandlingnu forudsætter vi, at det kan lade sig gøre, og det bliver ministeren, går jeg ud fra, der kan fremlægge alle de klare data og eksempler på, at det kan lade sig gøre, når vi kaster os ud i den her sag, det må han kunne, men det skal fru Birthe Skaarup jo ikke hænges op pålad os nu sige, at det kan lade sig gøre, så spørger jeg igen: Hvad nu, hvis man havde den situation, at det ikke er det bedste af æggene, der : har vævsforligelighed? Hvis vi så kan holde fast i, at et menneske aldrig, aldrig, aldrig må være andet end et mål for sig selv, så kan vi jo ikke vælge et, der er dårligere. De skal jo så åbenbart kun blive gravide, hvis de kan bruge det barn. Vi er jo i en situation, hvor vi faktisk, uanset om vi kan lide det eller ej, er ude i noget virkelig slemt, hvor vi begynder at sige: Nu begynder vi at lave et barn med henblik på at behandle. Det bringer nogle forfærdelige dilemmaer, og jeg vil godt spørge fru Birthe Skaarup, om hun forhåbentlig er med til at sige, at det aldrig må ske. (Kort bemærkning).",SF
2021,92,Morten Messerschmidt (DF),"Uden at skulle gå for meget i detaljer mindes jeg, at både Radikale Venstre og Det Konservative Folkeparti, senest vi debatterede det her, var tilhængere af flertalsafgørelser – men det kan vi jo spørge dem om. Det, jeg vil spørge udenrigsministeren om, er, hvorfor man ikke skriver det ind i loven. Altså, hvis man gerne vil give en garanti eller bare gerne vil give indtryk af, at det her er noget, der binder andre end udenrigsministeren og den siddende regering, hvorfor skal det så kun stå i lovbemærkningerne? Det er jo en langt ringere retskilde end selve loven. Altså, det er jo med lov, vi bygger land – det står jo herude foran, og sådan har det været siden 1241. Hvorfor skal vi ikke skrive det ind i loven? Altså, hvis man virkelig gerne vil komme nejsiden i møde og demontere og afmontere alle myterne osv., så skriv det dog ind i loven.",DF
2014,15,Peter Laigaard (LA),"Tak for det. Formålet med det her lovforslag er jo ikke alene at sikre unge under uddannelse en erstatning, men at skabe ligestilling mellem de forskellige ungdomsuddannelser. I den pågældende sag, hvilket de andre ordførere også har nævnt, er forskellen i udbetaling af den erstatning, man kan få som erhvervsuddannelseselev og gymnasieelev, næsten 50 pct. mindre for en erhvervsuddannelseselev. Det kan selvfølgelig ikke passe, at vi i dagens Danmark har så markant forskel på det erstatningsansvar og de erstatninger, man kan modtage, i de forskellige ungdomsuddannelser. Som loven er nu, tager den udgangspunkt i normalårslønnen, som den pågældende uddannelse sandsynligvis ville have ledt til. Problemet er jo selvfølgelig, at man i nutidens Danmark ikke længere kan være sikker på, hvilket arbejde en uddannelse leder til, da der er mange forskellige muligheder fremadrettet. Så der bør altså ikke differentieres imellem erhvervsuddannelser og de gymnasiale uddannelser, da der ikke er særligt grundlag for at forvente en højere eller lavere fremtidig årsindtægt, inden der er sket en nærmere specialisering. Så for at undgå den her negative forskelsbehandling, bør erstatningssager af den her type tage udgangspunkt i normalårslønnen, som det er foreslået af justitsministeren. Så jeg skal meddele, at Liberal Alliance stemmer for forslaget. Formanden : Tak for det. Fru Mai Mercado som konservativ ordfører. (Ordfører)",LA
2018,20,Magnus Heunicke (S),"Jeg vil også takke Venstres ordfører. Man glæder sig altid, når man fremsætter sådan et forslag her, til at høre reaktionerne fra de forskellige partiers ordførere. Og jeg må sige, at jeg særlig har glædet mig til at høre Venstres ordfører, for jeg ved, at han har en fortid, endda en lang fortid, i den kommunale verden. Derfor kunne jeg godt tænke mig at høre om de erfaringer, som ordføreren har gjort sig i den kommunale verden, både i egen og i nabokommuner, om den her problemstilling. Fjerde næstformand",S
2012,9,Flemming Møller Mortensen (S),"Til hr. Flemming Damgaard Larsen må jeg sige, at der har været brugt rigtig meget tid på at diskutere centralisering i forbindelse med det her lovforslag. Årsagen til, at man fik muligheden for at diskutere centralisering, var, at processen var så åben, som den var. Man havde meget svært ved fra departementets side at styre debatten ude på de store møder, hvor der pludselig blev åbnet op. Men det, der er tilfældet med lovforslaget, er, at vi har snævret ind, vi har været i dialog, primært med Organisationen Danske Museer og Kommunernes Landsforening, som er de helt afgørende aktører på det her område fraset det statslige. I dag er der en meget, meget stor tilfredshed, som er direkte udtrykt fra Organisationen Danske Museer, som altså organiserer samtlige danske museer, vi taler om her, måske fraset et par enkelte stykker, som siger, at det her er et godt lovforslag, og at det ikke bærer præg af centralisering, men at det i høj grad bærer præg af, at det er de faglige miljøer, at det er de faglige ledere ude på de decentrale museer, som nu kommer til at sidde med i en rådsstruktur, som skal rådgive Kulturarvsstyrelsen.",S
2022,57,Theresa Berg Andersen (SF),"Det anerkender vi i SF fuldt ud. Der er noget, der er hamrende skævt her, og det er også derfor, jeg åbner op for, at vi gerne vil være med til at kigge på det her. Man kan jo se, at det er lykkedes for mange, men man kan jo spørge sig selv, om det var lykkedes, hvis de skulle ud at samle 70.000 vælgererklæringer. Jeg har mine tvivl. Så derfor mener jeg også, det er en debat, der er værd at tage for at finde en mulig løsning på det her. Fjerde næstformand",SF
2020,26,(Karen Ellemann),"Tak til Dansk Folkepartis ordfører. Den næste ordfører kommer fra Radikale Venstre, og det er hr. Henrik Vinther. (Ordfører)",V
2016,56,Mikkel Dencker (DF),"Isoleret set er det jo godt, at folk får en uddannelse og et arbejde. Det var ministeren også meget inde på i sin tale, men der var ikke ret meget om, at en ting er, at man har en uddannelse og et arbejde, noget andet er, hvilke normer og værdier man har inde i sit hoved eller i sit hjerte, eller hvor man har dem anbragt. Det hjælper ikke meget, at man går på arbejde, hvis man er islamist i sin fritid nede i Brøndby Strands Idrætsklub eller i skolebestyrelsen eller i forældrebestyrelsen i børnehaven. Så hvis det er sådan, at man bruger sin fritid på at indføre islamisme via de demokratiske systemer, vi har opbygget i vores samfund, betyder antallet noget. Og hvad vil Socialdemokratiet gøre ved det? Hvis udviklingen fortsætter, kan man jo også overtage skolebestyrelsen i Brøndby Strand, og på længere sigt kan man overtage flertallet i kommunalbestyrelsen. Første næstformand",DF
2012,70,Ordføreren Mike Legarth (KF),"Det forholder sig sådan i den model, vi jo havde forestillet os, at man kunne lade sagerne vandre rundt i stedet for at lade personerne vandre rundt, som man jo nu gør i den reform, man laver. Der flytter man medarbejderne. Man kunne have flyttet sagerne, og så kunne man have opnået det samme. Jeg synes ikke, at der er belæg for at sige, at det en god idé med en enhedshåndtering. Man skal kigge på, hvad konsekvenserne i praksis er, og det er jo, at hvis man så skal køre til et sted i landet til en bestemt sagstype og nogle steder skal møde frem personligt, vil det altså sige, at man skal køre måske fra Bornholm til Aalborg eller fra Aalborg til Sydjylland for den sags skyld. Og der skal man også indse, at den transporttid, der er, kan krænke borgeres rettigheder, fordi det kan være, at man frasiger sig den ret, man egentlig havde, fordi omkostningen ved at forsøge at få den er for stor. Det er det, vi har været meget optaget af, så vi går ind for en modernisering, en effektivisering, mere ensartethed, hurtigere sagsbehandlingstid. De ting er gode, men vi synes, at det er sket med en for stor centralisering og en monopolisering.",KF
2008,72,(Jens Vibjerg),Så er det hr. Kristian Thulesen Dahl for endnu en kort bemærkning.,V
2003,41,Villy Søvndal (SF),", Jeg tror bare ikke - og det vil jeg godt gentageat læreplaner rettet op på noget som helst med et ambitionsniveau på 5 mio. kr. om året. Nu er det altid interessant at høre Dansk Folkeparti. citere forskere og eksperter, vi er jo ikke forvænt med, at man lægger så stor vægt på deres udsagn; men fint nok. Men så er det vel vigtigt at være opmærksom på, at forskere og eksperter faktisk er meget uenige på det her punkt. Jeg tror, det var fru Pia Kristensen, der nævnte ; 홢 Stig Brostrøm i sin ordførertale, men jeg husker måske forkert, men det tror jeg ikke. Må jeg ikke godt sige, at det jo ikke er så underligt, at Brostrøm er tilhænger af strukturerende pædagogik, det har han faktisk skrevet bøger om i hvert fald i de sidste 35 år. Nu har han fået sin renæssance, det er jo det nye, at den strukturerende pædagogik fik sit gennemslag under en ' konservativ socialminister. Det synes jeg som sagt historisk er interessant. Men der er ikke noget nyt i det. Eksperter og vidende folk, forskere, skiller på denne her diskussion. Jeg tror, det har 4212 (L 124) meget at gøre med nogle grundlæggende syn på børn og det frie rum, børn kan udvikle sig i. Anden næstformand",SF
2014,47,(Pia Kjærsgaard),"Tak til hr. Steen Gade. Så er det hr. Mikkel Dencker, en kort bemærkning.",DF
2007,49,(Helge Adam Møller),"Der er en enkelt, der ønsker ordet for en kort bemærkning, og det er fru Pia Adelsteen.",KF
2000,59,Klaus Hækkerup (S),"Nu er der jo tale om et lovforslag, som man efter det her beslutningsforslag skal pålægge regeringen at fremsætte, og jeg vil godt spørge den konservative ordfører, om De Konservative også mener, det er klogt at fremsætte lovforslaget og vedtage det her i Folketinget, før EU har taget stilling til udbudsdirektivet. Jeg vil da også godt spørge den konservative ordfører om et af de andre punkter, jeg nævnte, nemlig spørgsmålet om, at der skulle være aktindsigt i den del af den offentlige opgave, som private entreprenører udfører, aktindsigt hos den private entreprenør. Et af Venstres medlemmer af EuropaParlamentet har jo netop beklaget sig over, at der i en konkret sag ikke var det, og jeg vil godt spørge: Er det et element, som De Konservative også mener bør indgå, eller mener Det Konservative Folkeparti, at det ikke bør indgå? (Kort bemærkning).",S
2016,45,Bent Bøgsted (DF),"Er vi så ikke derhenne – det kan godt være, det lapper ind over integrationsministerens område – at når flygtninge og indvandrere kommer til Danmark, skal de starte med at få at vide: I har ingen fremtid i Danmark, hvis I ikke forstår at tilpasse jer det danske system; så har I ikke noget at gøre her i Danmark? De skal simpelt hen fra starten af acceptere – det kan godt være, de skal skrive under på, at de accepterer det – det danske system, og at de vil tilpasse sig det danske system, for ellers får vi dem ikke ind på arbejdsmarkedet. Vi ved også, der er rigtig mange arbejdsgivere, der siger nej tak, hvis ikke flygtningene og indvandrerne forstår det danske sprog, hvis ikke de får lært sproget. Der er mange, der er ligeglade med det. Engelsk er ikke nok, ikke ude i de små virksomheder. Så derfor, er det ikke sådan, at de fra starten af skal have at vide: Tilpas jer det danske system, det danske arbejdsmarked, ellers har I ingen fremtid i Danmark, så skal I søge et andet land?",DF
2003,31,Grete Schødts (S),"Det er ret interessant at lytte til hr. Flemming Oppfeldt, at lytte til lovgiveren tage en debat om de svageste ældre her på Christiansborg. Jeg vil bare spørge hr. Flemming Oppfeldt, om ikke fru Hansen, fru Jensen og fru Pedersen, der bor på plejehjemmet, kan betragtes som dem, der nok er de svagest stillede både økonomisk, psykisk og fysisk, men de er blot ikke omfattet af frit valg. Så det, hr. Flemming Oppfeldt her fra talerstolen tilkendegav, er ikke sandt, for plejehjem er ikke omfattet af lovgivningen om frit valg. (Kort bemærkning).",S
2021,123,Børne Og Undervisningsministeren (Pernille RosenkrantzTheil),"Først og fremmest kan jeg anbefale, at man kigger i de notater, der er blevet lavet, i forhold til konsekvensberegningerne, for det er jo simpelt hen de facto forkert, at der er flere, der ikke kommer ind på deres ønskegymnasium. Der er flere, der kommer ind på deres ønskegymnasium. Der er også færre, der skal transportere sig langt. Så jeg vil egentlig anbefale, at man, hvis man gerne vil have evidens for, hvad konsekvenserne af modellen er, går ind og kigger på de konsekvensberegninger, der er. Der er jo utrolig mange myter om det her, og en af dem er, at rigtig mange mennesker ikke får plads på deres ønskegymnasium. Det er sådan i dag, at der er 8 pct., der ikke kommer ind på deres ønskegymnasium, og fremadrettet bliver det i omegnen af 6 pct., der ikke kommer ind på deres ønskegymnasium. Så er det rigtigt, at der er enkelte områder, der så at sige er hårdt ramt, og det er typisk de steder, hvor de unge ikke har et ønske om at gå på det lokale gymnasium, fordi det er blevet pivhamrende skævt, og fordi der ikke længere er nogen danske unge tilbage. Der ændrer vi jo på elevsammensætningen, så man faktisk får et attraktivt uddannelsestilbud. Det er præcis det, der er meningen med det. Så jeg vil anbefale, at man kigger på konsekvensberegningerne. Fjerde næstformand",S
2019,113,Morten Messerschmidt (DF),"Det her vil jeg gerne holde lidt fast i: Altså, anerkender ordføreren overhovedet ikke, at der er en sammenhæng mellem antallet af muslimer i Danmark og indskrænkningerne i både frihed og tryghed? Ordføreren var selv inde på burkaforbuddet tidligere, hvor jeg går ud fra, at ordføreren primært anfægter, at det blev et tildækningsforbud, som gør, at danskere ikke kan gå rundt og klæde sig, som de gerne vil, men det problem havde vi jo aldrig haft, hvis ikke vi havde fået muslimer ind i Danmark, som gerne vil gå med burka og på den måde kompromitterer dels det store flertals ret til tryghed ved at kunne se ansigtet, dels jo også friheden til at leve i et frit samfund, hvor man selv bestemmer, hvordan man vil gå klædt. Jeg synes, at det på en række områder er meget bekymrende at høre ordførerens tale om, hvordan frihed og tryghed hænger sammen, uden overhovedet at reflektere over, at det hænger sammen med indvandring fra Mellemøsten; det er da helt elementært, hr. Hegaard. Den fg. formand",DF
